Sale_ID,Product_Name,Category,Quantity,Unit_Price,Sale_Date,Customer_Rating,Remarks
1,Tablet,Electronics,five,500,not available,,Good
2,Phone,Gadgets,4,300$,2020|05|22,5,123
3,Watch,Electronics,-3,unknown,,4,True
4,Tablet,electronics,5,300,2021-01-10,2,True
5,Charger,,five,400,2021-01-10,4,Good
6,Camera,,3,200,2020|05|22,3,Damaged
7,Laptop,Gadgets,five,,,1,123
8,Phone,Accessories,-3,200,,10,123
9,Watch,,5,9999,not available,5,Returned
10,Tablet,GADGETS,4,200,,4,True
11,Charger,GADGETS,-3,400,,10,Good
12,Tablet,GADGETS,-3,200,,bad,Returned
13,Charger,electronics,3,300,10/12/2021,2,
14,Camera,electronics,,300,not available,1,OK
15,Charger,Gadgets,5,500,2021-01-10,4,123
16,Charger|Charger,GADGETS,2,300$,2020|05|22,10,
17,Laptop,Accessories,-3,unknown,2021-01-10,2,
18,Headphones,Accessories,,,not available,3,Damaged
19,Laptop,electronics,2,9999,2020|05|22,1,OK
20,Laptop,,5,200,not available,1,
21,Headphones,GADGETS,1,200,,3,
22,Headphones,Gadgets,,400,2020|05|22,5,OK
23,Watch,electronics,1000,300$,,3,OK
24,Laptop,Gadgets,1,300,2021-01-10,1,
25,Watch,electronics,3,,2021-01-10,1,OK
26,Phone,electronics,five,500,2020|05|22,10,
27,Phone,,4,300,2020|05|22,2,
28,Phone,Gadgets,1000,9999,not available,3,Damaged
29,Watch|Watch,Gadgets,3,300$,not available,2,Good
30,Laptop,Accessories,5,9999,,3,
31,Charger,GADGETS,3,unknown,2020|05|22,bad,Returned
32,Camera,electronics,five,500,2021-01-10,1,123
33,Tablet,,5,unknown,not available,10,True
34,Charger,,1000,400,not available,2,Good
35,Headphones,Gadgets,five,9999,2021-01-10,3,Good
36,Tablet,Gadgets,2,400,not available,-1,Good
37,Tablet,Accessories,4,200,,bad,Damaged
38,Charger,,1000,unknown,2020|05|22,4,
39,Phone,GADGETS,2,300$,2021-01-10,5,Damaged
40,Laptop,GADGETS,1000,9999,2020|05|22,2,
